图片名,中文名,英文名,性别,槽位,岗位,可撤换,价格,特质1,特质2,特质3
Earth/Cloudy Quartz.png,云母,Cloudy Quartz,女,最高指挥,军事,是,100,经济天才,,
Earth/Ocean Dream.png,大海之梦,Ocean Dream,女,理论家,海军,是,120,海军理论家,,
Earth/Ocean Spray.png,海洋喷雾,Ocean Spray,女,理论家,空军,是,120,空军理论家,,
Earth/Peach Melba.png,蜜桃梅尔巴,Peach Melba,女,政治顾问,民事,是,140,工业领袖,
Earth/Peachy Cream.png,桃色奶油,Peachy Cream,女,政治顾问,民事,是,200,经济天才,,
Earth/Peachy Plume.png,桃色羽饰,Peachy Plume,女,陆军指挥,军事,是,150,教官,,
Earth/Perfume Hearts.png,馨香之心,Perfume Hearts,女,政治顾问,民事,是,160,时尚偶像,,
Earth/Picture Frame.png,相片框架,Picture Frame,女,理论家,民事,是,50,硅晶之梦,,
Earth/Pony Vendor 2Marey Poppins​[​dubious – discuss‍​]​.png,玛丽·波平恩,Marey Poppins​,女,理论家,民事,是,150,幼驹幻想文学,深得民心,
Earth/Powder Rouge.png,胭脂粉,Powder Rouge,女,陆军指挥,军事,是,100,鸽派,化妆师,
Earth/Power Chord.png,强力和弦,Power Chord,女,政治顾问,民事,是,150,权术天才,,
Earth/Pretty Vision.png,美妙愿景,Pretty Vision,女,政治顾问,民事,是,180,工业领袖,战争实业家,
Earth/Reflective Rock.png,反光宝石,Reflective Rock,男,理论家,陆军,是,120,陆军理论家,,
Earth/Rosetta.png,罗塞塔,Rosetta,女,政治顾问,民事,否,140,时尚偶像,政界崇拜,
Earth/Roxie Rave.png,洛茜赞扬,Roxie Rave,女,陆军指挥,军事,是,140,缝补大师,,
Earth/Savannah Guthrie.png,萨凡纳·古思瑞,Savannah Guthrie,女,最高指挥,民事,是,200,时尚偶像,深得民心,